               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10599,             0.10474,            0.015872,             0.55867,             0.65414,             0.51389,             0.30441,            0.072481,             0.10149,           0.0078615,            0.070014,           0.0033318,           0.0033318
                   1,            0.092202,             0.10787,           0.0090044,             0.57803,             0.70688,             0.60418,             0.42765,            0.066622,            0.096692,           0.0058816,            0.039926,           0.0065772,           0.0065772
                   2,            0.090058,              0.1062,           0.0083317,              0.7669,              0.6222,             0.66458,             0.47645,            0.065519,            0.096489,           0.0053468,           0.0097498,           0.0097345,           0.0097345
                   3,            0.087957,             0.10543,           0.0079873,              0.9025,             0.70146,             0.77491,             0.52918,            0.063873,            0.095031,           0.0046642,            0.009604,            0.009604,            0.009604
                   4,            0.086559,             0.10538,           0.0075477,             0.93536,             0.68904,             0.78126,             0.59411,             0.06247,            0.093766,            0.004413,            0.009604,            0.009604,            0.009604
                   5,            0.084935,              0.1018,           0.0072491,             0.93896,             0.69691,             0.78783,             0.60301,            0.061524,            0.092487,             0.00415,            0.009472,            0.009472,            0.009472
                   6,             0.08391,            0.099934,           0.0069775,              0.9099,             0.72486,             0.79425,             0.60941,            0.060544,            0.091593,           0.0040775,             0.00934,             0.00934,             0.00934
                   7,            0.083233,             0.10017,           0.0068404,             0.92096,             0.73069,             0.79811,             0.61861,            0.060095,            0.090621,            0.003926,            0.009208,            0.009208,            0.009208
                   8,            0.082745,            0.098936,           0.0067509,             0.91249,              0.7398,             0.79901,             0.61431,            0.059587,            0.090283,           0.0038263,            0.009076,            0.009076,            0.009076
                   9,            0.082206,            0.099979,           0.0066853,             0.91913,             0.73924,              0.8031,             0.63002,            0.059273,            0.090009,           0.0037281,            0.008944,            0.008944,            0.008944
                  10,            0.082098,            0.098728,           0.0066147,             0.89992,             0.75505,             0.80497,             0.63351,            0.058802,            0.089198,           0.0036344,            0.008812,            0.008812,            0.008812
                  11,            0.081659,            0.098074,           0.0065125,             0.89456,             0.76196,             0.80838,             0.63608,            0.058383,            0.088717,           0.0035603,             0.00868,             0.00868,             0.00868
                  12,            0.081398,            0.097567,           0.0064339,             0.89636,             0.76432,             0.81009,             0.64421,            0.058183,            0.088397,           0.0035128,            0.008548,            0.008548,            0.008548
                  13,            0.081272,            0.096125,           0.0063514,             0.89642,             0.76778,             0.81178,             0.64293,            0.057947,            0.088097,           0.0034427,            0.008416,            0.008416,            0.008416
                  14,             0.08059,            0.096067,           0.0063089,             0.89302,             0.77291,             0.81378,             0.64953,             0.05781,            0.087801,           0.0034075,            0.008284,            0.008284,            0.008284
                  15,             0.08068,            0.096274,           0.0062403,             0.89415,             0.77461,             0.81575,             0.65128,            0.057313,            0.087237,           0.0033584,            0.008152,            0.008152,            0.008152
                  16,            0.080233,            0.095386,            0.006238,             0.89039,             0.77852,             0.81665,             0.65456,            0.057182,            0.087139,           0.0033567,             0.00802,             0.00802,             0.00802
                  17,            0.080028,            0.095085,           0.0061628,             0.89859,             0.77528,             0.81828,             0.65945,            0.056898,            0.086575,           0.0033077,            0.007888,            0.007888,            0.007888
                  18,            0.080052,            0.095069,           0.0061365,              0.9005,             0.77381,             0.81972,             0.65826,            0.056508,            0.086115,           0.0032722,            0.007756,            0.007756,            0.007756
                  19,            0.079962,            0.095891,           0.0060699,             0.89916,             0.77986,             0.82119,              0.6557,            0.056457,            0.085927,           0.0032398,            0.007624,            0.007624,            0.007624
                  20,             0.07953,            0.094317,           0.0060371,             0.89789,             0.78066,             0.82188,             0.66128,            0.056191,            0.085651,           0.0032103,            0.007492,            0.007492,            0.007492
                  21,            0.079714,            0.095131,           0.0060583,               0.901,             0.78091,             0.82328,             0.66358,            0.056038,            0.085412,           0.0031864,             0.00736,             0.00736,             0.00736
                  22,            0.079583,            0.094685,           0.0059888,             0.90253,              0.7811,             0.82455,             0.66518,            0.055994,             0.08518,           0.0031655,            0.007228,            0.007228,            0.007228
                  23,            0.079369,            0.093553,           0.0059639,             0.90359,             0.78133,             0.82607,             0.66433,             0.05563,            0.084723,            0.003144,            0.007096,            0.007096,            0.007096
                  24,            0.079036,            0.093116,           0.0059183,             0.90046,             0.78476,             0.82721,             0.66571,            0.055539,            0.084518,           0.0031144,            0.006964,            0.006964,            0.006964
                  25,            0.079334,            0.093945,           0.0059596,             0.89825,             0.78798,             0.82779,             0.66906,            0.055391,            0.084274,           0.0030952,            0.006832,            0.006832,            0.006832
                  26,            0.079194,            0.093512,           0.0058813,             0.90513,             0.78377,             0.82905,             0.66832,            0.055267,            0.084173,           0.0030872,              0.0067,              0.0067,              0.0067
                  27,            0.079004,            0.092969,           0.0058316,             0.90464,             0.78595,             0.82955,             0.67234,            0.055175,            0.083866,           0.0030657,            0.006568,            0.006568,            0.006568
                  28,            0.078817,            0.092791,           0.0058006,             0.90326,             0.78791,             0.83044,             0.67061,            0.054997,            0.083658,           0.0030381,            0.006436,            0.006436,            0.006436
                  29,            0.078175,            0.091711,           0.0057431,             0.90524,             0.78741,             0.83142,             0.67405,            0.054831,            0.083464,           0.0030328,            0.006304,            0.006304,            0.006304
                  30,            0.078678,            0.093034,           0.0057889,             0.90437,             0.78969,             0.83233,             0.67497,            0.054739,            0.083264,           0.0029979,            0.006172,            0.006172,            0.006172
                  31,            0.078217,            0.092112,           0.0057565,              0.9054,             0.79012,             0.83293,             0.67418,            0.054583,            0.083066,           0.0029854,             0.00604,             0.00604,             0.00604
